Entity,average_probability
Comments on the Peak of Eloquence (Sharh Nahj al-Balagha'),0
a lot of individuals,36600000
the U.S.,2550000000
response to the allegations in the report,8
both the Pentagon and the Justice Department today,0
Neville,43100000
Seaham Colliery,5370
local figures,128000
transitions,383000000
Faber,36500000
The station,101000000
cooperation from Yemen,8
group profit,328000
Annette Lu,19300
fears,290000000
the Tenth Doctor,399000
our tool kit,103000
Qamaruzzaman,16000
electron density,17000000
double digits,5890000
The key U.S. and foreign annual interest rates below,21
Eusebius,1260000
blank expressions,53500
the game Kingdom Hearts,28000
Brown,2190000000
Dante Gabriel Rossetti,481000
Scott Shaw,194000
Clement Desessard,2
the sill,2270000
the weekend,247000000
Ghia,10500000
Peter and Wendy as an extraordinary piece of writing that has always fascinated me,0
its audit of GM's Vauxhill unit,0
the usual collaborators,694
Vaishnavites,81700
the Presidency of the United States,2130000
All three men,2820000
the competition,248000000
exports to the Soviet Union,280000
Nelson Holdings International Ltd. shareholders,1
UCLA,139000000
hundreds of people,169000000
The most exciting part of the day,229000
Budd Company,60900
contemporary composers,257000
The garage,60500000
Vassar College,2020000
the sheik,813000
Ergophobia,35300
Milosevic,3100000
a ballot,9810000
a species of praying mantis found in Algeria,4
Czechoslovakia,23200000
the Army,153000000
Straight,2730000000
ordinary Qingdao residents,0
a team that looked carefully at the issue,5
a large-scale fight,7750
"the desk, dressed in a fabulous pinstriped suit",0
"China, in recent years also introduced a production line of pre-separating kilns, constructed large scale",0
IRA tax-deductions,6140
Postville,516000
"several Indian Orders of Merit, as well as a number of Indian Distinguished Service Medals and Indian Meritorious Service Medals",3
West Germany Konrad Adenauer,2620
shop at SkyDome (now Rogers Centre),0
number two,27900000
Mr. Allen,955000
an all-out effort,206000
Yale Law School,2320000
Colombo,76100000
the formerly moribund team,5
His most famous work,1120000
"the attack on the ""Cole """,506000
Food,5250000000
Fort King,368000
"Latin America, Africa, and the South Pacific",10700
Austrian and international films,8
Proksch,392000
prominence,109000000
instance,1390000000
several cover paintings and a few comic stories for the Warren Publishing horror magazines,4
The automaker,4690000
areas,3250000000
work safety,5230000
an archaeological site of the Indus Valley Civilization,7330
The Protocols,18200000
an agreement,166000000
present,3950000000
their speed and agility,150000
home-state projects from foreign bases,0
Garith McClain,0
the prospect of a diplomatic resolution,6180
Boston,1070000000
neighboring countries,13700000
two clear roads,10
a series of energy crises,53900
Westlife's music,813
course,3630000000
"India's prime minister, Manmohan Singh",18000
Albert Finney in Sidney Lumet's crime drama,1
Taiwan's financial regulator,3280
the Algonquian peoples,7220
the Michael Jackson trial in California,9
his permission,4410000
the idea of assisting their friends in the west,757
her employer,8100000
the second round,34200000
the ongoing investigation,1760000
television,1440000000
Trusthouse Forte,11100
A fifth synagogue,7
fall hunting dates,802
anything,2410000000
the people,1260000000
"notes of bergamot blossom, freesia, pepper blossom, acacia aura, lotus flower, osmanthus, iris, sandalwood and musk",4
the month of December,8450000
Polish family,231000
scientists,1030000000
STECI,77100
"the battle, which was clearly propaganda",3
The Format,217000000
Afghanistan,472000000
Atlantic salmon,6890000
economics,1450000000
football,1340000000
"the squad, which dropped from Premier League runner-up to seventh place last season--denying them a spot in this season's Champions League",2
a rail station in the western city of Cologne,0
King Hezekiah of Judah,46900
The key,1280000000
A prosecutor,8310000
the state administrations,75400
furniture,642000000
Albany County Republican Chairman Joseph C. Frangella,6
an unincorporated community in Pittsylvania County,1360
use,18680000000
the grandchildren,3680000
an unincorporated census-designated place in Door County,1
foreign commentators,15900
Edwin Stanton of the United States Coastguard,0
these shows,13800000
large advanced economies,8680
Sensors on the equipment,166000
no deal,9320000
Former immigration minister Judy Sgro,32
San Francisco for a fund-raiser,1760
some losses and liquidity problems,0
Lewiston,13500000
confidence,1360000000
"QuakeNet, a network originally created for players of the first-person shooter Quake and now used by players of many different games",0
co-director Ron Clements,561
Automatix,103000
his home in Hollis near New York,1
Asian Football Confederation (AFC) President,19200
honors,564000000
"Miami University in Oxford, Ohio",124000
an attempt at psychological intimidation,7
the Second Boer War,160000
Huddersfield,24400000
a silver medal,5670000
the wreckage,11100000
their mutual funds,124000
The train,155000000
joint commendations,32
some covering fire,3030
People,10090000000
"Joy and her entourage which included Maria Ho, who everyone seems to be obsessed with apart from me",0
the first Keeper of Indian art,173
a punch,34400000
disasters,288000000
the cannons,1140000
"market environment, infrastructure, political and regulatory environment, readiness of individuals, businesses and governments to embrace the technologies, and the uses to which the technology is put",0
Jason Momoa,10100000
a single-A-minus rating,5
an Episcopium,30
Bin Laden financed the attack and assigned one of his top assistants to supervise it,0
one prominent family in Hanover,0
DirecTV,14800000
The UN resolution,761000
my foot,23900000
The bank based in North Carolina,2
a basketball theme,63200
Filoviridae,91100
approval,1050000000
itself,2100000000
Three militants armed with suicide vests and machine guns,0
one line of his mother,4
The researchers,157000000
December of this year,2070000
the second round of the match play,32600
the registration of all military equipment in the country,0
He,6050000000
the incident,168000000
the dismissal,10300000
The Black Sea Shad (Alosa maeotica),2
plenty of ailments,132000
"a momentum for radical change that becomes difficult, if not impossible, to control",0
the development of trust agency business between the two banks,0
This Old House,3450000
"Preliminary signs of an upturn in labor markets, along with further gains in stock prices",0
the Brazilian team,156000
Ancient Egypt,26800000
the ministers,8440000
The large star,91600
its blockade of Gaza,13500
British success,139000
"important personalities of Parisian cultural life, including the critics Adolf Basler and Andre Salmon",0
some concern,5250000
modern India,4620000
other approaches,27600000
Palestinian Authority Chairman Mahmoud Abbas,6710
"this famously liberal, progressive city",1
his eyes,101000000
Soft eye shields,532
Mo'Nique,1100000
Israeli Prime Minister Ehud Barak,65100
Scotland,517000000
Hobbit Day yesterday,629
This much acclaimed masterpiece,30
zone,1580000000
"Japan's third largest advertising agency, after Dentsu and Hakuhodo",2
"Ricardo Montalban, Red Skelton and Betty Garrett, who had also been in Take Me Out to the Ball Game",4
a decline in projected ticket sales,0
the works,177000000
"a triple flip, double toeloop attempt",0
the motoring section on actions,0
"Dr. Toseland, a toxicologist",1
These people brought this,11800
its European works council,3780
populations,798000000
the split between FOTA and the FIA,1
St. Trudpert's Abbey (Kloster St. Trudpert),7
"provocative actions that could worsen tensions with South Korea and Japan and their main ally, the United States",0
the second quarter,27400000
time consuming and complicated,402000
their energy dependence,104000
means,4970000000
front of Odin,122000
KKR's name,26
the Chesnels' story,2
The main event,19200000
terms of its righteousness,5
"a powerful government to ""step forward when giving directions ""and organize",6
the market's collapse,2610
the protest,14300000
Alex Wharf,18300
Super Lig,4780000
the decision to recuse,100000
Eleven babies,8610
the other hand,928000000
the demand,232000000
Anatolia,25400000
great interest,44400000
the environment,846000000
the test,582000000
the Second Temple period,225000
a noble in the States-General,6
both celebrities and ordinary people,3760
the correct usage of the Portuguese language,1
"Individuals including Noam Chomsky, Steven Pinker, Leda Cosmides, John Tooby, and David Buss",0
The UN Security Council decision,62000
"Amblypygids, particularly the species Phrynus marginemaculatus and Damon diadema",4
shoplifters,5220000
Bandra in suburban Mumbai,238
the kind of political system a country chooses,4
his business,41900000
"Diexi Haizi, Mao'ergai, Songpan",0
The factory in Thailand,77500
"Heaps' father, Leo",1
a Venezuelan footballer Striker who currently plays for Deportivo Lara,0
his clients,26000000
the latter,894000000
a penalty corner,158000
"a so-called arrival of the wolves, which is also the arrival of powerful competitors, right",0
tickets to concerts,436000
judicial restraint,493000
Laramie,17000000
good sleep hygiene,403000
official estimates,432000
the draw,27700000
a bus in Afghanistan,30500
Marcille,2550000
a protected national monument,5470
His pupils,2450000
Stage history,146000
a young Saudi that decides to volunteer for the Jihad,0
a permanent colour on your relaxed hair,0
The US air campaign in Afghanistan and Pakistan,0
several years,303000000
Lin's group,10800
the Vienna Staatsoper soon after her arrival there,2
borrowing and economic growth,422000
the Chicago Bulls,5150000
another aircraft,353000
initial damages caused by the tropical storm,0
index arbitrage,27400
Lynyrd Skynyrd,5810000
an ultimatum by Napoleon,277
the best basketball mind of any kid he has been around,1
the heart of London's financial district,22600
several new characters,109000
"each fat, inflatable form strains against the buildings' walls and windows with playful, even comic authority",0
the Palatine Hill,145000
Galeon,1250000
Ma,1670000000
Generalizations about value,2300
a way of looking to the future but not when it is used as an easy way out,1
a previous hearing,111000
an East German border town,2
"Klaus Kinski Head Sculpture The sculpture ` nobody knows, what we feel' by Paule Hammer from the eastern German city of Leipzig",0
The vaccine,32000000
the nineteenth century,40700000
the pope,26200000
the Shanghai property market,1290
Holy Roar-a,133
their licenses,2600000
cigarette and joke,5860
a NASA document,3960
delete' operator,61300
the ministry,288000000
the court,391000000
Top-seeded Lee Chong Wei of Malaysia,8
The environment,846000000
a branch line,244000
power and fuel shortages,30600
the Spaniards of treason,5
SACN,336000
the president,479000000
British overseas territories and overseas possessions of the Netherlands including Aruba and the former Netherlands Antilles,0
women and children,159000000
a Palestinian,12500000
royalist,3480000
Tom Daschle,119000
the western world,22800000
a way,1400000000
a press campaign against the importation of Canadian rapeseed oil,0
the mainstream press,296000
the rescue fund,23000
tournament runners-up,22200
The recovery,163000000
Many boys,2730000
the wrong circumstances,51100
a curse to control him again,1
this unguarded section of cliff,0
Taiwan authorities,416000
the Canadian tournament,3190
simulated human sexual intercourse noises arranged as a rhythm,0
peacekeeping operations,1350000
Cartan,1230000
such newspapers,49200
the adult form of the character from Jonny Quest,1
addition to South Carolina,599000
Marlett,373000
discussions with US officials,80500
a commonly used supplement,3050
different operations against us,1
such treasured artifacts as Lord Nelson's spyglass,0
article uh,9830
fourth place,10600000
unemployment,256000000
the previous survey,415000
The Arts Centre,2970000
the small finish circuit,1
the position of Tourism Minister which had been vacated by Isaac Herzog during a cabinet reshuffle caused by Yisrael Beiteinu's addition to Ehud Olmert's coalition,0
I,15130000000
"LRB-The Republican candidate, Sen. Pete Wilson",0
"Linz, Austria",1720000
"The El Cortez, a hotel and casino",3
D sugars,32700
Bob Fosse's snake looks and moves,1
A lackluster All-Star game for Pujols,1
labelmate Karen Clark-Sheard,2
American Gangster,1080000
the genus,70900000
Penn,212000000
its net income,1060000
"the new executive producer, John Yorke",3
Frankfurt,154000000
the ensuing kick,18400
a dope test,23400
the risk,1130000000
the subsidized maize scheme and free primary education program,1
"Ying Bu, Wu Rui and Gong Ao",1
a ton of polo shirts,9
Bam Margera,1280000
Port Sudan on the Red Sea via Khartoum,10
A top Iranian reformist from a banned political party,0
Human mind,19700000
eventual series champion Dale Jarrett,2
Annaghmore,191000
"Karl Alvarez and Bill Stevenson (both most known for their work with pop-punk pioneers, the Descendents)",0
the latest therapies,81000
its consideration and debate,14800
the award,189000000
a tremendous indignation from Iran and its allies in the Arab region,0
Livy and Dionysius of Halicarnassus,3540
the mens' podium places and Russia's Ekaterina Ilyukhina,0
the Ministry of Telecommunications,401000
Building,3520000000
Hugh,169000000
the University of Maryland,26000000
the Nittany Lions,839000
a man and woman,41000000
Wedge,105000000
"The second problem, which also involves the first",0
"Edmonds, Mukilteo, and Seattle",2
a state visit,2510000
the proximity of Cheru,0
"Midtown Manhattan, New York City, New York",128000
Douglas,412000000
"the European Parliament, in which UKIP increased their representation from three to twelve seats",0
The Israeli Manufacturers' Association,822
enough time to update its market commentary so,0
Analysts,248000000
no suggestion,3860000
the latest round of confrontation,3510
"a reader presenting the ideas, platforms and creeds of people and groups that Sargent calls left-wing or right-wing American extremists in their own words",0
the modern naphthalene formula of two benzene rings sharing two carbon atoms,1
charge or trial,187000
"Her improvisational style, and love of bebop",1
her small trading business,195
the mosque,14400000
swine flu,4480000
Sandy Hook,5470000
salads,175000000
the length of a paperclip,16700
the pool,250000000
The song,330000000
Tropical Storm Zeta,17500
service,9640000000
the most likely target of a nuclear missile strike,1
gainers,61900000
Fordham Essex,4610
Jools Holland',1290000
"rain giving way to dry, warmer weather",8
The roasting smell,207
this person,109000000
two records,3600000
several Bangor class minesweepers,4
Pennsylvania,783000000
our troops in less than a,0
Lithuania,502000000
"Goldman's lawyer, Patricia Apy",5
Camp Morton,32400
the South Asian Association,179000
Elgin enterprise,821
New York on Monday,1770000
the emperor,56800000
Boise I,77400
the masala,1470000
"the club, where he also took part in several public debates on his whistleblower website WikiLeaks and the state of the modern media",0
the petition,27600000
students,3620000000
His only other love affair during this period,7
time,16210000000
a food crisis,374000
all kinds of housing structures,5
McCall,32500000
Europe,2350000000
the regional body,198000
the end of the runway,10100000
tears,440000000
a payer of alimony (who,0
a Catholic organisation documenting human rights abuses following the Zimbabwe War of Independence,1
the second rounds of ITF,0
Algeria,419000000
Kohalla Bridge,42
the behavior of some of you,3
the torch,20100000
"almost every major genre, including symphony, opera, the solo concerto, chamber music including string quartet and string quintet, and the piano sonata",135
The Iraqi government,785000
the first verse of BROTHERS UNDER THE SKIN,0
moshav Shibolim,23
nerve tissue,1190000
school,5730000000
more business,23200000
a Monday market meltdown,1
Peter Hodge,23100
American,4950000000
The Conservatives,8720000
his hip,5020000
the memorials and prayer services of the past,3
The division,188000000
this time,1320000000
shipments for the month,104000
Future Imagery Architecture,2100
numerous suspected insurgents,57
Stargate SG-1,1500000
a three-way summit with Netanyahu and Palestinian leader Mahmud Abbas,0
Incumbent parties,37400
Everything,3800000000
re-sign various players,2
Australian football,4340000
India and other countries,18700000
one term,8710000
his rice and adobo plate,0
tuition,742000000
His photography,1680000
public transport in Amsterdam,52300
several times,266000000
"Russian Yuri Malenchenko, and American Peggy Whitson",1
their plans,27300000
the sixth hour,179000
the sentence,128000000
Lander,78400000
"a brother in the monastery of St-Lucien, Beauvais",0
a close watch on developments in east Asia,0
commodity prices,11000000
"Novato, Calif., and Cigna Corp., based in Philadelphia",0
"the Ottoman Empire, which it itself controlled most of the areas important to the early period of the Baha' i Faith",0
Beijing,290000000
The Battle of Britain Monument in London,916
Awadh cuisine,3850
a day for a computer security manager,0
the widespread skepticism in China over financial reporting,0
conventional chips,12200
provincial rugby union teams in South Africa,118
"University of California, Berkeley",53600000
official corruption,263000
Olympic National Park,3040000
country people,4630000
Their ignorance and presumption,4260
the duties of the SDF,5040
"Zack Mills, Larry Johnson, and Sean McHugh",1
Esperstedt,11900
Governor Christine Todd Whitman,15200
Easter shopping,150000
the top candidate to take the reins from the Anfield boss,0
a part of the Yugoslavia national team,1
the character Donnie Brasco,6
the destruction of the ancient city of Madurai,9
the crucial vote,29500
Both platforms,4480000
Kanji,28500000
United Kingdom,2110000000
fact,3410000000
the Iraqi grid,1020
the development which linked these isolated buildings,2
Belfast Car Ferries,288
its chemical formula,288000
part of the editing of The Oxyrynthus Papyri and other similar works,0
Newport Stadium in Newport,245
the capital's main airport,4800
RB Rudi Johnson,480
published photos of topless women at his villa,0
cash,1680000000
chlorine,90400000
a mechanical desk,2680
a Relevos Suicidas match,77
Oneida silverware,76500
That figure,16400000
Fabricio Coloccini,55600
the Hon Barry Jones AO MP of the Australian Labor Party,0
Roberto Maroni,14600
The River Cleddau,11500
another site on the east coast,12700
a vocal critic of the South African apartheid regime,140
The island,265000000
a built-in GPS navigation chip coupled to Nokia's Ovi Maps software,1
the CEOs of companies,87900
special diplomatic plates,7
the spill,5460000
the region,738000000
a member of a samurai retainer family of the Tokugawa clan,0
the Scottish Claymores,5570
"Several of the New York Stock Exchange's own listed companies, led by giant Contel Corp.",0
profits,391000000
the induction ceremony,546000
Siskund,74
Ira Dubey,30600
These blatant and deliberate leaks,0
this species and the vendace (Coregonus albula),1
amnesty,24600000
"Sinaloa, Mexico",985000
this fall,118000000
bilateral trade,5280000
The British Broadcasting Corp. and the U.S. State Department,0
an international tour of The Hollow Crown,2
texturing agents,15200
the left,1100000000
This tournament,9350000
France and Germany,12800000
Asia,1900000000
"Iran, the U.S., Russia and France",8
the Saracens team,2740
the University of Massachusetts and MIT,5340
Dissemination,212000000
seven of them with her as refugees,0
The story,1070000000
a glacier-look for a Tyrol advertisement,3
European private-equity group GMT Communications Partners,1
Azucena in Verdi's Il Trovatore,921
Popular tradition,432000
Alang,4020000
"Milwaukee's streets, which had been lit with torches",1
a trending topic on Twitter,88400
Friday,1720000000
a tehsil,90100
"Russian scientific vessel ""Academic Fedorov """,2
our resolve to remain a force for peace and for stability,5
"a quintessential Vogue portrait, taken by one of our most important photographers and styled by one of our important editors",1
breast,1110000000
the suspects,11300000
Mushroom,193000000
"his mother, Agatha Christie",2
Mirzapur District in Uttar Pradesh and Rewah District in Madhya Pradesh,0
clades,12400000
the Queen of England,4300000
Johnson & Johnson,23700000
my experiences,25200000
Diocletian,2000000
The move,224000000
film soundtracks,909000
the Quebec issue,1670
her hand,79400000
smaller lenders like rural credit cooperatives,0
Jacques Martin,156000
The capital case against Slahi,0
Henry Puna,32900
Angels Fall First,37700
its position,62400000
Oakland,171000000
"the ""Aya Matsuura of porn",72200
a control freak,945000
Several players from each team,7450
the varsity football coach,51000
No statistics,10200000
her maternal grandparents,277000
the ball,183000000
Kuching Central Prison to Sibu,1
Pakistanis,10600000
Mr. Alexander's representation of Derr Construction Co.,0
Plame,177000
growing tension with city residents,0
their moniker,104000
the reign of the Emperor Zeno,10700
Gunter,17600000
food,5250000000
Confucianism,4910000
the future,2290000000
a focus of weeks of anti-Saakashvili protests this year,0
Blowzabella,15200
Civil Aviation Safety Authority,230000
General Casey,18200
a city resident,204000
Zisman,393000
talks,1050000000
the climax,23100000
IEA figures,4000
the first round,68000000
the community,1140000000
the latter country,131000
a pragmatic decision,56700
Anniversary events,1760000
ceremonies around the world,29300
Elizabeth,810000000
a halt,23600000
investors,1240000000
March,3680000000
a search for another school,6
The state park,17800000
The Cedula of Population,6710
Ozzy Osbourne's,237000
"an Italian missionary of the Salesians of Don Bosco order as well as a passionate mountaineer, explorer, geographer, ethnographer, photographer and cinematographer",4
the accord,3350000
the National Hockey League (NHL),453000
Online Reputation,5620000
the second night,4550000
the film,581000000
one of the seven archangels,37700
Tobias Harris in his blog Observing Japan,0
the spring,269000000
"the Egyptian side, the exits often disguised by homes",1
Crude futures,458000
the tide against extremism,378
relations,2020000000
a French signal,655
some of the responses,48800000
the immensely popular musical Joseph and the Amazing Technicolor Dreamcoat,7
hashish,3420000
two more times,4310000
the prime minister,63800000
Landrada,6520
Emma Lazarus,176000
no time,233000000
Hindi verse.,12100
Her mother,201000000
ABC's John Martin,32
several musicians,129000
Harold Foster's comic strip,4
"Poland, where he is suspected of involvement in the theft of an infamous sign at Auschwitz",0
Sony Pictures due to their desire to change the title,5
the role,1430000000
Jasmine,295000000
"Many nineteenth-century individualist anarchists, including Benjamin Tucker",1
the heptathlon,206000
The use of the term,345000000
Ten Chinese companies,3550
The ERRC,17500
"Jon Heder, Jeff Daniels and Diane Keaton",2
eight years in prison for his role in a a series of multimillion dollar pump-and-dump stock fraud schemes,0
National Assembly of Kenya,110000
US scientists,582000
Chicago,1610000000
Henry Bumstead,10900
That one brief rest stop,0
"Chattanooga, Tenn.",541000
new details,21100000
each ration,28800
the Constitution,144000000
ourselves,532000000
Simple pleasures of a picnic lunch watching the Ulster coast,0
their first football game,66500
Kidder,4440000
the last two years,57500000
Unique clocks,82700
things,5300000000
descent,212000000
a pact,8590000
"a criminal soul mate, whose greed and dishonest inventiveness equaled his own",9
a modest banker,9
the railroad mail carrier service,1
the first book,35200000
at least three weeks,3910000
Australian and New Zealander soldiers,777
their base,16400000
the first synod held in Western Australia,2
Madrid,350000000
Philadlephia Athletics owners Ben Shibe and Connie Mack,0
TCAC,155000
top flight teams,37800
the host city,1030000
Esme in The Slippery Slope,0
a subjective factor,26200
nearby cities,45000000
"Lodsys LLC, a Texas patent troll shell corporation",0
the noise level another notch,0
the Wildcat formation,27400
its two-day loss,919
several major Christian music festivals over the next few months,1
six soldiers,287000
an English football player and manager,5280
A European diplomatic source,1760
Aba Lujayn,0
a new agreement,4180000
Lake Agassiz,118000
the blood primarily,17000
The brokers' hope,207
their owner,8910000
Right-bank Ukraine,17700
"her daughter, Joan Irvine Smith",3
The Qishla of Mecca,120
a result,1680000000
the asteroid's orbit,17100
"ambassador Longbin Tang reviewed the stably developing political and economic situations in China last year, and extended gratitude to the overseas Chinese and foreign citizens of Chinese origin for their warm support for China's construction undertaking, and for contributions",0
"main line, the last two being Nahur and Mulund",0
a crisis in the stock markets,4
the transfer of Dempsey,6
"the children's musical ""Aladdin",14000000
eight franchises,48300
A Nomad of the Time Streams,3000
the future concentration of American resources,1
delays for months,38900
The CyBC trade unions,0
Rennes,22900000
President Truman as U.S. ambassador,4
the deputy mayor and treasurer of the city of Leipzig,2
an actor in Melbourne,36000
"Kirk Maltby, Dan Cleary and Johan Franzen",0
his capacity as magister militum,4
friction,180000000
a popular referendum,59000
Larry Brilliant,35300
the blue by the wizard Gandalf,4320
Harmony Society,241000
moral conclusions,30200
local benefit-seeking matters more and national policy making matters less in the lower chamber of Congress,0
the installation,156000000
no further details,8010000
his hand suggesting that he might have been wounded himself during whatever struggle that occurred after these shootings,0
Giambattista Marino,11900
the New York Times and the Washington Post,1140000
"Front Line member Eric Young in the main event, which he lost after Young pinned him following a Death Valley driver",2
A modern dial tone,5
the sport,119000000
"China's top political advisor, Jia Qinglin",92
Taliban militants,322000
Italian lawyer and self-styled security consultant Mario Scaramella,0
the same time,1270000000
The Cascade Range,301000
southwest Manitoba,19600
analysts,248000000
Kraft Foods Inc.'s unsolicited bid,0
Francisco Pizarro in an episode of History Bites,1
degree from the Norwegian,112000
lower wages than their American counterparts,798
The fire,234000000
continued dialogue across the Taiwan Strait,0
the extent that Indonesia's exports are vertically integrated with China's production process,0
the closure of Kahrizak prison,4
this field,764000000
one new issue,59500
written test,12200000
The two tendons concerned,31
his condition,13400000
just one State in the USA,7
many areas,65200000
The results,1240000000
a different conversation,248000
Wind,985000000
their options,14400000
World War I and World War II European citizens,1
The Ordovician Bald Eagle Formation,72
presentations by responsible officials of this port,0
My teacher,41400000
model,3470000000
consequences for the company,10800000
"the type of volcanoes that tend to produce plumes of harmful ashes, in that the country's volcanoes are often covered by glaciers",0
the past three decades,10100000
drugs,1440000000
Wolfgang Schussel,13500
Arechis I of Benevento,42
Neoteny,181000
"Henry "", Kathleen Michael as ""Ada ""and Patrick Magee",150000
today's Internet attackers,5
leaf,538000000
Ashfield,10300000
the lower house,3130000
his own recording company he called Cadence Records,0
affairs,1890000000
the most lightweight suits which can fit into any trend,1
my thoughts,76200000
The insurance coverage,15000000
The soldier,19100000
Rucker,13700000
concerns,1590000000
It,20990000000
the Spanish,170000000
expectations,851000000
India,4540000000
Ritek,256000
the families of the victims of the Dirty War,4
areas farther south ahead of the drills,0
Apptix,8700
"Winnipeg, Manitoba, Canada",3270000
Mr. Bush,405000
Bohemia,19200000
"the districts of Goudrou, Lagamara, Limmou, Nonna, and Guera, he",0
the investigation and detention,125000
the cartoon,24200000
Venice,161000000
A conversion rate,804000
this story,344000000
Saudi Arabia,733000000
the administration,224000000
two series of tax-exempt bonds,2410
the era where his singing voice had not,1
the Nyquist frequency,185000
the horizontal bar event,2620
advocacy groups,9690000
the desert near Khakrez,1
the Italian government,1850000
the construction of large reservoirs,46200
a story,451000000
world leaders,24500000
"Eiliv Austlid, represented by three of his children",1
"The area around the towns of Mikulov, Znojmo, Velke Pavlovice",7
his hand,123000000
late May & ndash; October,0
manager Peter Taylor,10100
a collaboration with Janet Jackson,1290
a Comment,1810000000
Balys Dvarionas,9180
The step,115000000
"the settlement Tubabodaga (""village of the whites "")",2
franchisers,90700
its buddy,35700
the great ballet in the House-of-the-Moving-Walls,1
Web users,8440000
one of the very few places in Milwaukee where you can order the Cornerstone Sauvignon Blanc,0
"You """,23410000000
North Channel,603000
the Army of the Potomac,351000
Catholics,33100000
The bone,121000000
saltwater,52400000
Rann,5560000
a luciferase assay,245000
construction firms,2870000
order,6230000000
today,7300000000
Legnago,434000
The Iberian nations,3560
MSE/PE,4850
The site,3200000000
transnational men's professional club basketball competition,1
Patrick Dwyer and Sergei Samsonov,0
The new administration,3280000
"The symbolic title of ""Fall Champions """,910
tribal leaders and other activists,2
scripts,355000000
a jam,12800000
uh the beefier,0
Other resistance welding methods,188
five of them,33700000
A big attraction on the Thames,0
a self-proclaimed president who owes his office to anticonstitutional and illegal electoral manipulation engineered by the electoral board and ruling party,0
the amended certifications,551
incident,734000000
Qin-period chariots on loan from the Taiwanese art collector Huang Jen-chung and the National Museum of Natural Science,0
hockey,404000000
his passing,16300000
score,1720000000
the government that so closely monitored him,0
The EU move,30200
some financial lobbyists,0
an A section,1310000
British Airways,28900000
golf gear,4440000
chlorine gas,1620000
the neighboring Bedouin tribes,206
"Ultimate Alliance (exclusive to next-gen and can be downloaded to PC version, NPC otherwise)",0
Trevithick,472000
criticism,451000000
The wave principle,72000
Pakistan in a daring night raid by the US,2
print,3190000000
their researches,182000
England and Wales,185000000
The Alliance,43400000
"Interior of Dominica Photo by Ken Bosma The capital of Dominica, Roseau",0
The situations,24700000
The issue,750000000
Beltran Leyva leaders or operatives,6
an era of shrinking Pentagon budgets,4
healthy and free elections,1
the media,580000000
Medicaid,139000000
Lance Johnson,158000
good relations,8940000
Kelly Preston,1340000
the tainted drywall problem,1
great losses,388000
Opa Opa,506000
Lawyers for the defendants,190000
Peruvian referee Georges Buckley,2
the fact,1230000000
Transylvania Twist,18600
The eastern and western sections of the city,7880
part of the Great Western Railway route,4
Ken Olsen at DEC,112
b' earl @ ch,0
U.S. attorneys,4270000
Pavel Brutt,5210
Pretoria,51400000
Fermi,24000000
"the Welsh team's new import, Indian captain Sourav Ganguly",2
Thatcher,26000000
the President,479000000
the Islamic Court Union,2450
that group,36600000
"This ""Japanese older brother",273000000
"Govan, Glasgow",103000
our cricket,566000
some sort of network,368000
the mellow drama,2120
a vibrant city,5060000
settlers from the Connecticut Colony,1940
seven years,170000000
the Antarctic,10900000
adoring fans,1100000
an alternative school educator,1130
a report by McChrystal,0
three years,615000000
a village town in the neighbouring district of Dindigul called Vada Madurai,4
Argentine authorities in Comodoro Rivadavia,8
chairman,421000000
Hong Kong,1020000000
promotion,953000000
the speed with which traffic moved,0
two campuses in Mesa and Phoenix,1
Gateway Sports and Entertainment Complex,5420
all citizens,18800000
pregnant women,143000000
The men,226000000
the City Council,71900000
Wal-Mart,17400000
Passignano and Giuseppe,5
short-pitched deliveries,15600
our behalf,50600000
anti-abortion groups,138000
his war,4610000
an Aguero header,24
his superiors,2860000
Bush,381000000
the train bombings,8510
the eve of deploying to Afghanistan,4
separate announcements of their plans,0
the last four matches of the seven-match ODI series,0
John Keats,1900000
The report,508000000
this knowledge,88800000
the substitutes' bench,106000
coalition troops,141000
"consensus ""status, a player",84300000
the hands of any of the Lebanese,0
"Entei, along with its counterparts Raikou and Suicune",0
Good Counsel in the final,8
three times as much,11500000
an American landscape painter and author of illustrated works of cultural history and folklore,29
The race,169000000
The Congress of Racial Equality (CORE) surrounded the building before anyone,1
the social and economic development,20500000
A Google departure,6
a press conference held by the Information Office of the State Council,1180
David Jenkins,742000
"the company's director of communications, Lyan Sierra-Caro",0
"sex scandals: Gary Hart, Chuck Robb, and Teddy Kennedy",1
a critical budget that was aimed at shoring up public support,0
the commission,176000000
Castle Harlan,11700
the Kannada Kanva for his guardianship of Kannada Literature,4
many hidden crises and risks lurking ahead,0
"Oxford Professor Tariq Ramadan, law professor and U.N. war crimes expert M. Cherif Bassiouni, and University of Chicago Professor Jennifer Pitts",0
the border,213000000
This method of law enforcement,291000
baby gates,4810000
Hunt's debut in senior football,2
the transition,382000000
a number of clashes,151000
rain,926000000
ESR,40600000
less than two hours per day,209000
bankruptcy protection,2200000
Bayreuth and Plassenburg,4
the past two weeks,13900000
The GASB,186000
the investigation,184000000
much of that period,10600000
four locations where the Myitsone Dam is under construction in the country's northernmost Kachin state,0
She,5290000000
only a few areas,965000
Ephesian Artemis Artemis,8
songs,1350000000
black short shorts,294000
three goals,9300000
"this case Europa, daughter of the king of Tyre",1
"Cox about ""wanting to do something",55200
prices,1540000000
